date,grid_load_mwh,grid_load_incl_pumped_mwh,residual_load_mwh
2025-06-08,968145.0,1033261.0,162342.0
2025-06-09,977176.0,1029196.0,285023.0
2025-06-10,1216301.0,1266884.0,364750.0
2025-06-11,1246335.0,1290715.0,541299.0
2025-06-12,1231337.0,1278392.0,458061.0
2025-06-13,1229178.0,1276423.0,315380.0
2025-06-14,1079867.0,1130003.0,303492.0
2025-06-15,1014538.0,1064271.0,508650.0
2025-06-16,1256013.0,1290988.0,627975.0
2025-06-17,1255319.0,1287944.0,694159.0
2025-06-18,1254661.0,1292856.0,666281.0
2025-06-19,1116813.0,1161022.0,406702.0
2025-06-20,1128204.0,1165278.0,540664.0
2025-06-21,1024148.0,1066944.0,504452.0
2025-06-22,988039.0,1033337.0,354937.0
2025-06-23,1291396.0,1332232.0,318280.0
2025-06-24,1291527.0,1331657.0,286983.0
2025-06-25,1297157.0,1330149.0,494626.0
2025-06-26,1309342.0,1336606.0,635723.0
2025-06-27,1299277.0,1330637.0,570327.0
2025-06-28,1093231.0,1133100.0,303689.0
2025-06-29,1040360.0,1086006.0,320649.0
2025-06-30,1255048.0,1282468.0,668690.0
2025-07-01,1307004.0,1337330.0,729830.0
2025-07-02,1334773.0,1364120.0,696207.0
2025-07-03,1337490.0,1373545.0,633077.0
2025-07-04,1264036.0,1301092.0,670475.0
2025-07-05,1085139.0,1134986.0,325753.0
2025-07-06,1029456.0,1067248.0,479178.0
2025-07-07,1272025.0,1298632.0,753354.0
2025-07-08,1272613.0,1307775.0,614003.0
2025-07-09,1256384.0,1286147.0,698114.0
2025-07-10,1238400.0,1270050.0,751355.0
2025-07-11,1252049.0,1285207.0,683359.0
2025-07-12,1076166.0,1117776.0,578231.0
2025-07-13,998775.0,1040437.0,570652.0
2025-07-14,1222517.0,1251749.0,816988.0
2025-07-15,1230154.0,1264925.0,713990.0
2025-07-16,1257582.0,1283985.0,760374.0
2025-07-17,1244254.0,1280265.0,659602.0
2025-07-18,1189939.0,1215732.0,820798.0
2025-07-19,1036076.0,1076312.0,497875.0
2025-07-20,986846.0,1031927.0,441605.0
2025-07-21,1246909.0,1256280.0,885550.0
2025-07-22,1246405.0,1283790.0,607003.0
2025-07-23,1254441.0,1292848.0,432883.0
2025-07-24,1244556.0,1260371.0,907781.0
2025-07-25,1219140.0,1238748.0,835197.0
2025-07-26,1041633.0,1074759.0,729567.0
